UserID,UserName,Age,Gender,Cluster,ClusterName,TotalCourses,TotalCategories,AvgSpending,TotalSpending,AvgRating,DiversityScore,LearningDepthIndex,PreferredCategory,PreferredLevel,EnrollmentFrequencyDays
U0001,Ayaan Sharma,23,Female,0,Premium / Career-Focused Learners,5,5,4566.46,22832.3,4.5200000000000005,0.5,0.3,Finance & Accounting,Intermediate,154.4
U0002,Kavya Pillai,36,Female,1,Explorers (Multi-Category Learners),8,6,2082.6125,16660.9,4.2375,0.6,0.5,Data Science,Advanced,111.4
U0003,Myra Reddy,31,Female,2,Deep Specialists,4,1,1353.3025,5413.21,4.325,0.1,0.5,Business Analytics,Intermediate,206.5
U0004,Reyansh Chopra,27,Female,0,Premium / Career-Focused Learners,5,4,4878.41,24392.05,4.12,0.4,0.3,Finance & Accounting,Beginner,140.4
U0005,Sai Bose,24,Female,1,Explorers (Multi-Category Learners),11,8,1245.88,13704.68,4.127272727272727,0.8,0.409,Digital Marketing,Beginner,67.2
U0006,Sneha Verma,37,Female,2,Deep Specialists,6,1,2439.133333333333,14634.8,4.233333333333333,0.1,0.167,Finance & Accounting,Beginner,151.5
U0007,Vihaan Iyer,23,Female,0,Premium / Career-Focused Learners,3,2,4519.133333333334,13557.400000000001,4.566666666666666,0.2,0.333,Digital Marketing,Beginner,307.3
U0008,Aadhya Pillai,42,Female,1,Explorers (Multi-Category Learners),16,9,2397.2875,38356.6,4.3625,0.9,0.531,Data Science,Intermediate,59.5
U0009,Deepak Kapoor,35,Female,0,Premium / Career-Focused Learners,4,3,4260.85,17043.4,4.15,0.3,0.25,Finance & Accounting,Intermediate,195.2
U0010,Vihaan Chopra,39,Male,2,Deep Specialists,6,1,2015.795,12094.77,4.25,0.1,0.583,Data Science,Advanced,150.3
U0011,Saanvi Chopra,27,Female,2,Deep Specialists,6,1,889.755,5338.53,4.133333333333334,0.1,0.167,Web Development,Beginner,143.5
U0012,Priya Pillai,27,Female,2,Deep Specialists,9,1,2359.5455555555554,21235.91,4.155555555555555,0.1,0.667,Design (UI/UX),Advanced,100.2
U0013,Pooja Bose,40,Female,1,Explorers (Multi-Category Learners),10,6,941.6690000000001,9416.69,4.16,0.6,0.4,Business Analytics,Beginner,75.4
U0014,Kavya Sharma,37,Female,0,Premium / Career-Focused Learners,3,3,3315.33,9945.99,4.533333333333334,0.3,0.333,Cybersecurity,Intermediate,187.3
U0015,Ananya Subramanian,20,Female,0,Premium / Career-Focused Learners,5,5,5740.4580000000005,28702.29,4.26,0.5,0.6,Business Analytics,Intermediate,215.2
U0016,Karthik Gupta,24,Male,2,Deep Specialists,5,1,1794.4720000000002,8972.36,4.4,0.1,0.6,Data Science,Advanced,95.6
U0017,Ishaan Menon,40,Male,0,Premium / Career-Focused Learners,4,2,4920.91,19683.64,4.275,0.2,0.625,Design (UI/UX),Advanced,118.2
U0018,Karthik Nair,19,Male,2,Deep Specialists,8,1,1732.75125,13862.01,4.2,0.1,0.25,Finance & Accounting,Beginner,103.2
U0019,Sai Krishnan,38,Male,2,Deep Specialists,7,1,1069.6614285714286,7487.63,4.128571428571428,0.1,0.143,Web Development,Beginner,120.9
U0020,Reyansh Kumar,37,Male,2,Deep Specialists,6,1,1344.6283333333333,8067.7699999999995,4.166666666666667,0.1,0.167,Web Development,Beginner,134.7
U0021,Naveen Kapoor,18,Female,2,Deep Specialists,5,1,969.9939999999999,4849.969999999999,4.0,0.1,0.1,AI & Machine Learning,Beginner,149.0
U0022,Anika Verma,40,Male,2,Deep Specialists,4,1,1298.405,5193.62,4.3,0.1,1.0,Data Science,Advanced,90.8
